Sentiment;Created at;Text;Hashtags
positiv;21.07.2016 08:43;Yep, I'm the type of person who wakes up at 4:30am to buy the newly released, exclusive SDCC Funko Pops online.;[{u'indices': [88, 93], u'text': u'SDCC'}]
neutral;22.07.2016 09:08;  How was it to play hester's two faces ScreamQueens SDCC2016;[{u'indices': [64, 77], u'text': u'ScreamQueens'}, {u'indices': [78, 87], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:08;  if you could play another character on the show who would it be ? SDCC2016 ScreamQueens;[{u'indices': [92, 101], u'text': u'SDCC2016'}, {u'indices': [102, 115], u'text': u'ScreamQueens'}]
positiv;22.07.2016 09:16;  liking your SDCC coverage-nice job!;[{u'indices': [37, 42], u'text': u'SDCC'}]
neutral;22.07.2016 09:14;  Not sure if I should believe it. Lmao. ;[]
positiv;22.07.2016 09:06;" 
how cool is this fucking teaser? how cool is going to sdcc?";[]
positiv;22.07.2016 09:03; go to sdcc tomorrow (saturday) and all will be ok;[]
neutral;22.07.2016 09:04;" if something is introduced at the SDCC (it's not a 100% sure) it will be a short ""teaser"" IMHO.";[]
neutral;22.07.2016 09:10; is smashing it out of the park with these  SDCC;[{u'indices': [75, 80], u'text': u'SDCC'}]
positiv;22.07.2016 09:08; Looks brilliant. Enjoy SDCC. Would love to have been there.;[]
neutral;22.07.2016 09:13; Moffat talked at SDCC: ;[]
positiv;22.07.2016 09:08; once numbers are confirmed we will be offering every single SDCC2016 exclusive to our customer  ;[{u'indices': [77, 86], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:14; Thank you for not being at SDCC, this is my therapy for the evening;[]
negativ;22.07.2016 09:14; the only thing it's when I'll post it, everyone will already have an sdcc icon lol;[]
neutral;22.07.2016 09:06; TheDefenders SDCC Teaser -  ;[{u'indices': [10, 23], u'text': u'TheDefenders'}, {u'indices': [24, 29], u'text': u'SDCC'}]
negativ;22.07.2016 09:16; THERE IS SOMEWHERE A TRAILER FROM SDCC I CAN'T CHECK BC I'M NOT HOME;[]
neutral;22.07.2016 09:06; WHAT ABOUT KENNY;[]
neutral;22.07.2016 09:08; will you be adding any more SDCC Pop Vinyls on to your website today??;[]
neutral;22.07.2016 09:05;"""You look like Sue Storm when drawn by Jae Lee."" -  sdcc  Hilton San Diego Bayfront ";[{u'indices': [64, 69], u'text': u'sdcc'}]
neutral;22.07.2016 09:07;(Inquisitr):SDCC: The Walking Dead Fans Get Up Close And Personal With Season 6 Finale..  ;[]
negativ;22.07.2016 09:09;*sigh* one day ;[]
positiv;22.07.2016 09:12;. rocking it at SDCC FXSDCC VR ;[{u'indices': [29, 34], u'text': u'SDCC'}, {u'indices': [35, 42], u'text': u'FXSDCC'}, {u'indices': [43, 46], u'text': u'VR'}]
neutral;22.07.2016 09:06;"[SDCC 2016] ""Dead Rising 4"" Hands-On  ";[]
neutral;22.07.2016 09:15;[SDCC2016] Iron Fist : un tout ... -   SDCC2016 Netflix Marvel IronFist ;[{u'indices': [77, 86], u'text': u'SDCC2016'}, {u'indices': [87, 95], u'text': u'Netflix'}, {u'indices': [96, 103], u'text': u'Marvel'}, {u'indices': [104, 113], u'text': u'IronFist'}]
positiv;22.07.2016 09:11;11:11 great photos from sdcc;[]
positiv;22.07.2016 09:11;11:11 jmo being hot at sdcc;[]
neutral;22.07.2016 09:11;11:11 lots of selfies from the cast at sdcc;[]
neutral;22.07.2016 09:11;11:11 morrilla selfie at SDCC;[]
neutral;22.07.2016 09:04;13ft bronze Captain America statue unveiled at SDCC:  ;[{u'indices': [47, 52], u'text': u'SDCC'}]
neutral;22.07.2016 09:12;2 Days To Go SDCC Ninjago ;[{u'indices': [13, 18], u'text': u'SDCC'}, {u'indices': [19, 27], u'text': u'Ninjago'}]
positiv;22.07.2016 09:13;A master, painted by a master!!!  SDCC2016 ;[{u'indices': [45, 54], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:07;A thing of beauty ;[]
positiv;22.07.2016 09:13;After going to the Star Wars Celebration last weekend I really want to go to Comic Con in San Diego one day SWCE SDCC2016;[{u'indices': [108, 113], u'text': u'SWCE'}, {u'indices': [114, 123], u'text': u'SDCC2016'}]
negativ;22.07.2016 09:08;ALL MY BAES ARE AT SDCC IF MARGOT AND EMILY ARE THERE I WILL KILL.;[]
neutral;22.07.2016 09:07;Alright, going to SDCC2016 tomorrow. And I'm going to have a LOT of stuff. Does anyone want said stuff? Posters? Stickers? Etc? Riverdale;[{u'indices': [18, 27], u'text': u'SDCC2016'}, {u'indices': [129, 139], u'text': u'Riverdale'}]
negativ;22.07.2016 09:12;Also you know the worst thing about sdcc? Missing all the info and news - always the last to know.;[{u'indices': [36, 41], u'text': u'sdcc'}]
positiv;22.07.2016 09:06;and there is this lil pup' and her emotional speech, how priceless is she really ? AlyciaDebnamCarey SDCC2016 ;[{u'indices': [83, 101], u'text': u'AlyciaDebnamCarey'}, {u'indices': [102, 111], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:11;And this ;[]
neutral;22.07.2016 09:08;Andy Lincoln and Chandler Riggs on the plane to sdcc2016 thewalkingdead chandlerriggs andrewlincoln ;[{u'indices': [48, 57], u'text': u'sdcc2016'}, {u'indices': [58, 73], u'text': u'thewalkingdead'}, {u'indices': [74, 88], u'text': u'chandlerriggs'}, {u'indices': [89, 103], u'text': u'andrewlincoln'}]
neutral;22.07.2016 09:14;Anthony do u watch Our Cast? ;[]
neutral;22.07.2016 09:15;Any recommendations?   et all ;[]
neutral;22.07.2016 09:07;ARGHHHHH SDCC2016 trailers already!!!;[{u'indices': [9, 18], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:16;Ashley Eckstein In The Lego Dress At Her Universe SDCC  vlogger;[{u'indices': [50, 55], u'text': u'SDCC'}, {u'indices': [80, 88], u'text': u'vlogger'}]
neutral;22.07.2016 09:09;Ashley Eckstein Interview On Her Universe At Comic Con SDCC  oaknews;[{u'indices': [55, 60], u'text': u'SDCC'}, {u'indices': [85, 93], u'text': u'oaknews'}]
positiv;22.07.2016 09:03;At last...some good news DaredevilSeason3  ;[{u'indices': [25, 42], u'text': u'DaredevilSeason3'}]
negativ;22.07.2016 09:16;Aw man. I am about to be so broke. ;[]
neutral;22.07.2016 09:15;Bluefin debuts exclusive SDCC collectibles  ;[]
neutral;22.07.2016 09:04;"Brand new teaser for LukeCage from  &amp;  straight out of SDCC2016 ";[{u'indices': [21, 30], u'text': u'LukeCage'}, {u'indices': [75, 84], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:10;can someone get me this for christmas ;[]
positiv;22.07.2016 09:07;Can there please be a photo from SDCC of  and  together.... i will then die happily;[{u'indices': [33, 38], u'text': u'SDCC'}]
negativ;22.07.2016 09:15;cancel this show pls ;[]
positiv;22.07.2016 09:07;Can't wait for all the hype for SDCC to start;[]
positiv;22.07.2016 09:03;Check out these full size Walking Dead characters created by the amazing team of artists at KNB EFX  ;[]
positiv;22.07.2016 09:09;Comic Con Party SDCC NathanFillion ConMan ;[{u'indices': [16, 21], u'text': u'SDCC'}, {u'indices': [22, 36], u'text': u'NathanFillion'}, {u'indices': [37, 44], u'text': u'ConMan'}]
positiv;22.07.2016 09:09;Comic Con Represents America Better Than GOP SDCC  oaknews;[{u'indices': [45, 50], u'text': u'SDCC'}, {u'indices': [75, 83], u'text': u'oaknews'}]
positiv;22.07.2016 09:11;Comic Con, new Robot Wars and WWE Battleground? It's gonna be a good week. SDCC2016 RobotWars Battleground;[{u'indices': [75, 84], u'text': u'SDCC2016'}, {u'indices': [85, 95], u'text': u'RobotWars'}, {u'indices': [96, 109], u'text': u'Battleground'}]
positiv;22.07.2016 09:14;Didn't like the previous season hope like this one. Happy that ends but I like the show ;[]
neutral;22.07.2016 09:09;Emma Loggins, Jenn Steele Of  At SDCC  oaknews;[{u'indices': [56, 61], u'text': u'SDCC'}, {u'indices': [86, 94], u'text': u'oaknews'}]
positiv;22.07.2016 09:12;Epic song to accompany Marvel's The Defenders - SDCC Teaser - Netflix [HD]  via  nirvana comeasyouare;[{u'indices': [112, 120], u'text': u'nirvana'}, {u'indices': [121, 134], u'text': u'comeasyouare'}]
negativ;22.07.2016 09:10;Every year I proclaim that next year I shall attend SDCC, am I there? Nope. Nope I am not. ;[]
positiv;22.07.2016 09:06;Excited for all of the SDCC2016 news to come!;[{u'indices': [23, 32], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:06;From Justin Timberlake to hot dads. Let us fill you in on our first day at SDCC    ;[{u'indices': [75, 80], u'text': u'SDCC'}]
neutral;22.07.2016 09:08;Funko Pop SDCC 2016 Marvel Collector Corps Hobgoblin Year One Box Exclusive ;[]
neutral;22.07.2016 09:12;Game of Thrones' John Bradley Teases What's to Come in Oldtown -SDCC 2016: John Bradley stops by to talk abou... ;[]
neutral;22.07.2016 09:13;Gears of War 4 - 'SDCC 2016' gameplay  microsoft360one news pcesteam gearsofwar4;[{u'indices': [62, 78], u'text': u'microsoft360one'}, {u'indices': [79, 84], u'text': u'news'}, {u'indices': [85, 94], u'text': u'pcesteam'}, {u'indices': [95, 107], u'text': u'gearsofwar4'}]
neutral;22.07.2016 09:12;Groovy!! Marvel's Luke Cage - SDCC - Teaser - Netflix [HD]  via ;[]
neutral;22.07.2016 09:13;HAVE YOU VOTED FOR DELENA YET ;[]
negativ;22.07.2016 09:14;he is such a baby  ;[]
neutral;22.07.2016 09:04;Hey  if you're wondering which library in SD  is gonna be at, it's the Central Library next to Petco Park. SDCC2016;[{u'indices': [131, 140], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:10;HYPE  for NYCC just got real for WildStorm fans thanks to  SDCC2016 reveal!! I hope WildStormReborn pans out!! takemymoney;[{u'indices': [0, 5], u'text': u'HYPE'}, {u'indices': [11, 16], u'text': u'NYCC'}, {u'indices': [35, 45], u'text': u'WildStorm'}, {u'indices': [69, 78], u'text': u'SDCC2016'}, {u'indices': [95, 111], u'text': u'WildStormReborn'}, {u'indices': [123, 135], u'text': u'takemymoney'}]
neutral;22.07.2016 09:11;I added a video to a  playlist  Marvel's The Defenders - SDCC Teaser Trailer Song Extended [HD];[]
positiv;22.07.2016 09:08;I AM SO EXCITED RN ;[]
positiv;22.07.2016 09:04;"I GAINED 85 FREE FOLLOWERS   Huddersfield SDCC2016 RobManfred";[{u'indices': [52, 65], u'text': u'Huddersfield'}, {u'indices': [67, 76], u'text': u'SDCC2016'}, {u'indices': [78, 89], u'text': u'RobManfred'}]
neutral;22.07.2016 09:06;"I got to break the dance floor ice at omnia. (People thought security was blocking the floor. False.) Now I'm invisible again. ""SDCC2016";[{u'indices': [38, 44], u'text': u'omnia'}, {u'indices': [129, 138], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:10;I HOPE BOB POSTS A SELFIE BEFORE SDCC;[]
positiv;22.07.2016 09:11;I HOPE MY KING POSTS PRE SDCC SELFIE;[]
positiv;22.07.2016 09:08;I liked a  video  Man in the High Castle: How the World Expands in Season 2 - SDCC 2016;[]
positiv;22.07.2016 09:03;I liked a  video  Marvel's Iron Fist - SDCC - First Look - Netflix [HD];[]
positiv;22.07.2016 09:05;I liked a  video  Marvel's Luke Cage - SDCC - Teaser - Netflix [HD];[]
positiv;22.07.2016 09:03;I liked a  video  Marvel's The Defenders - SDCC Teaser - Netflix [HD];[]
positiv;22.07.2016 09:13;I liked a  video  Marvel's The Defenders - SDCC Teaser - Netflix [Nederlands];[]
positiv;22.07.2016 09:12;I liked a  video  Talking Spider-Man on PS4, Luke Cage and Marvel Movies with Agent M - SDCC 2016;[]
positiv;22.07.2016 09:09;I liked a  video  Voltron Creators on Why They Went for That Big Twist - SDCC 2016;[]
positiv;22.07.2016 09:03;I liked a  video from   Marvel's The Defenders - SDCC Teaser Netflix Reaction SDCC2016;[{u'indices': [123, 132], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:10;"I liked a  video from   SDCC 2016: ""South Park 20"" interactive offsite experience (NSFW)";[]
positiv;22.07.2016 09:09;I NEED THISSSSS ;[]
neutral;22.07.2016 09:07;i panel in programma per oggi sono bones, game of thrones, agents of shield e screem queens. SDCC2016;[{u'indices': [93, 102], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:03;I wish I was at SDCC2016;[{u'indices': [16, 25], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:07;I wish I was there SDCC;[{u'indices': [19, 24], u'text': u'SDCC'}]
positiv;22.07.2016 09:10;ICYMI Today!   - Hope you have an amazing time at SDCC! ;[{u'indices': [0, 6], u'text': u'ICYMI'}, {u'indices': [74, 79], u'text': u'SDCC'}]
positiv;22.07.2016 09:15;I'm excited to be a backer of this project. ;[]
negativ;22.07.2016 09:08;IM NOT GONNA WATCH IT YET I DONT WANT TO CRY ;[]
negativ;22.07.2016 09:11;I'M NOT OKAY I'M CRYING  ;[]
negativ;22.07.2016 09:06;im ready to die ;[]
positiv;22.07.2016 09:09;I'm so damn exited for this figure you have no idea ;[]
positiv;22.07.2016 09:10;"Inside the party before the crowd. They usually throw one of the best parties of SDCC. IGNBash2016  MORE &gt;&gt; ";[{u'indices': [81, 86], u'text': u'SDCC'}, {u'indices': [88, 100], u'text': u'IGNBash2016'}]
positiv;22.07.2016 09:14;IronFist DaredevilSeason3 TeenWolfSeason6 LukeCage I CAN'T WAIT FOR MOREEEEEE! SDCC2016;[{u'indices': [0, 9], u'text': u'IronFist'}, {u'indices': [10, 27], u'text': u'DaredevilSeason3'}, {u'indices': [28, 44], u'text': u'TeenWolfSeason6'}, {u'indices': [45, 54], u'text': u'LukeCage'}, {u'indices': [83, 92], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:10;IS BOB GONNA POST PRE SDCC SELFIE I HOPE SO;[{u'indices': [22, 27], u'text': u'SDCC'}]
neutral;22.07.2016 09:11;"Is the  movie fight going to be View Askewniverse themed &amp; called 'Mooby Fights'?  ScreenJunkiesCentral SDCC";[{u'indices': [116, 137], u'text': u'ScreenJunkiesCentral'}, {u'indices': [138, 143], u'text': u'SDCC'}]
negativ;22.07.2016 09:14;It's that time of year again.. trailers and news for tv shows and movies everywhere!! Why am I not in California?! SDCC2016;[{u'indices': [115, 124], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:12;Joe Quesada on Luke Cage Embracing NYC and Iron Fist's Villain Count - SDCC 2016: Marvel CCO Joe Quesada talk... ;[]
positiv;22.07.2016 09:09;"July 22nd 2016; SDCC
*Aaron Webber walks on stage*
*Audience goes wild*
*Aaron inhales*
""BIG'S FISHING ADVENTURE 3!!""
*Auditorium EXPLODES*";[]
negativ;22.07.2016 09:09;Just seeing SDCC makes me tear up;[{u'indices': [12, 17], u'text': u'SDCC'}]
negativ;22.07.2016 09:07;Just seeing the SDCC makes me tear up;[{u'indices': [16, 21], u'text': u'SDCC'}]
negativ;22.07.2016 09:13;Last minute SDCC packing to THIS VERY APT TUNE ;[{u'indices': [12, 17], u'text': u'SDCC'}]
positiv;22.07.2016 09:09;Love it!! Happy Birthday Ryu by the way!! ;[]
positiv;22.07.2016 09:06;LoveLoveLoveeeeeeeee ;[]
neutral;22.07.2016 09:09;Make sure to catch TheTitanMovie's (and GameOfThrones)  at SDCC2016! ;[{u'indices': [19, 33], u'text': u'TheTitanMovie'}, {u'indices': [41, 55], u'text': u'GameOfThrones'}, {u'indices': [75, 84], u'text': u'SDCC2016'}]
negativ;22.07.2016 09:04;Marvel kills it at SDCC every year, we've learned to celebrate and accept it. DC fans like myself take it with a grain of salt ;[{u'indices': [19, 24], u'text': u'SDCC'}]
neutral;22.07.2016 09:13;Marvel Releases New Defenders Logo   via ;[]
neutral;22.07.2016 09:11;Marvel's Iron Fist - SDCC - First Look - Netflix ;[]
neutral;22.07.2016 09:13;Marvel's Luke Cage - SDCC - Teaser - Netflix [HD]  via ;[]
neutral;22.07.2016 09:11;Marvel's The Defenders - SDCC Teaser - Netflix [HD] ;[]
neutral;22.07.2016 09:04;MarvelSDCC has unveiled the first trailer for the upcoming Defenders series! Check it out:  SDCC2016;[{u'indices': [0, 11], u'text': u'MarvelSDCC'}, {u'indices': [60, 70], u'text': u'Defenders'}, {u'indices': [117, 126], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:12;Mcthor...it's the feeling I get when the nuggets kick my as the next day ;[]
neutral;22.07.2016 09:05;Moana opening scene and costume worn by Dwayne Johnson's Maui addressed at SDCC 2016 ;[]
neutral;22.07.2016 09:09;Models Walk Her Universe Runway At Comic Con SDCC  oaknews;[{u'indices': [45, 50], u'text': u'SDCC'}, {u'indices': [75, 83], u'text': u'oaknews'}]
neutral;22.07.2016 09:08;"Monster High SDCC 2016 Preview Night
 ";[]
neutral;22.07.2016 09:10;"More  3.75"" figures are coming this year from  sdcc ";[{u'indices': [67, 72], u'text': u'sdcc'}]
positiv;22.07.2016 09:07;Must... Watch... Hero... Movie... ;[]
positiv;22.07.2016 09:13;My brother, who's normally dead asleep by 12, DID NOT SLEEP AT ALL because of SDCC TWD trailer hype. He's been going on about it for weeks.;[]
positiv;22.07.2016 09:15;My dream is to go to SDCC one year. wishiwasthere;[{u'indices': [21, 26], u'text': u'SDCC'}, {u'indices': [37, 51], u'text': u'wishiwasthere'}]
positiv;22.07.2016 09:09;my idol is such a godess, so proud of her   ;[]
positiv;22.07.2016 09:16;my love ;[]
positiv;22.07.2016 09:13;"Netflix + Marvel = PERFECTION. 
SDCC2016";[{u'indices': [32, 41], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:15;"Nice cape action.
.
.
StarWars SDCC sdcc2016 costumedesign RogueOne comiccon geekery ";[{u'indices': [22, 31], u'text': u'StarWars'}, {u'indices': [32, 37], u'text': u'SDCC'}, {u'indices': [38, 47], u'text': u'sdcc2016'}, {u'indices': [48, 62], u'text': u'costumedesign'}, {u'indices': [63, 72], u'text': u'RogueOne'}, {u'indices': [73, 82], u'text': u'comiccon'}, {u'indices': [83, 91], u'text': u'geekery'}]
neutral;22.07.2016 09:08;OH SHIT OH SHIT OH SHIT ;[]
neutral;22.07.2016 09:04;Olicity SDCC Happenings - Friday, July 22nd ;[{u'indices': [0, 8], u'text': u'Olicity'}]
neutral;22.07.2016 09:13;On ship tous ;[]
positiv;22.07.2016 09:04;"Our girls in line for Bones final SDCC panel, catching up on s11 finale
BonesFarewell is a serious business here! ";[{u'indices': [22, 28], u'text': u'Bones'}, {u'indices': [35, 40], u'text': u'SDCC'}, {u'indices': [74, 88], u'text': u'BonesFarewell'}]
neutral;22.07.2016 09:06;Pinback Bobble Funko Pop SDCC 2016 Teen Titans Starfire Flash Robin Batman Wonder Woman Set 3  Store Mall;[{u'indices': [0, 8], u'text': u'Pinback'}, {u'indices': [9, 16], u'text': u'Bobble'}, {u'indices': [17, 23], u'text': u'Funko'}, {u'indices': [71, 78], u'text': u'Batman'}, {u'indices': [122, 128], u'text': u'Store'}, {u'indices': [129, 134], u'text': u'Mall'}]
neutral;22.07.2016 09:07;Please, if you find a online shop that sells Doctor Strange Funko Pop worldwide, let me know! SDCC DoctorStrange;[{u'indices': [94, 99], u'text': u'SDCC'}, {u'indices': [100, 114], u'text': u'DoctorStrange'}]
neutral;22.07.2016 09:10;pokemongo in downtown sdcc2016 ;[{u'indices': [0, 10], u'text': u'pokemongo'}, {u'indices': [23, 32], u'text': u'sdcc2016'}]
neutral;22.07.2016 09:08;Portia Doubleday au Comic-Con 2016. SDCC ;[{u'indices': [36, 41], u'text': u'SDCC'}]
neutral;22.07.2016 09:11;PRE SDCC SELFIE OR ELSE;[]
positiv;22.07.2016 09:09;Quick word of warning, gonna be a lot of SDCC2016 posts on my page.. fangirling overload imminent.;[{u'indices': [41, 50], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:06;Reinhardt at your service!!!! ;[]
neutral;22.07.2016 09:10;Ride from LAX to Temecula at 12:30 in the morning? Sure, why not? May as well head down to SDCC since I'm so close.;[{u'indices': [91, 96], u'text': u'SDCC'}]
negativ;22.07.2016 09:15;Right in the feels  ;[]
neutral;22.07.2016 09:09;sdcc - where your sleep cycle is dictated by your battery charge cycle.;[{u'indices': [0, 5], u'text': u'sdcc'}]
neutral;22.07.2016 09:03;SDCC 2016 : Netflix et Marvel montrent Luke Cage, Iron Fist et The Defenders ;[]
neutral;22.07.2016 09:15;SDCC 2016 Mattel Ever After High Cedar Wood Doll Presale Mattel  via  sdcc everafterhigh sdcc16 sdcc2016;[{u'indices': [57, 64], u'text': u'Mattel'}, {u'indices': [99, 104], u'text': u'sdcc'}, {u'indices': [105, 119], u'text': u'everafterhigh'}, {u'indices': [120, 127], u'text': u'sdcc16'}, {u'indices': [128, 137], u'text': u'sdcc2016'}]
neutral;22.07.2016 09:09;SDCC 2016: First Teaser For Marvel's Iron Fist is Here! ;[]
neutral;22.07.2016 09:10;SDCC 2016: Will Arnett Presents Live From Comic-Con... ;[]
neutral;22.07.2016 09:06;"SDCC Day 1= watched   FatmanOnBatman; drinks w/   minimates w/  NOCSDCC";[{u'indices': [0, 5], u'text': u'SDCC'}, {u'indices': [52, 67], u'text': u'FatmanOnBatman'}, {u'indices': [132, 140], u'text': u'NOCSDCC'}]
positiv;22.07.2016 09:08;SDCC IS SUCH A BLESSING ;[]
neutral;22.07.2016 09:16;SDCC is tomorrow and here I am, awake and on twitter;[]
neutral;22.07.2016 09:13;sdcc last year tho ;[]
positiv;22.07.2016 09:05;SDCC Photos : CBS Fan Favorites  NCIS CriminalMinds NCISLA Zoo CriminalMindsbeyondBorders ;[{u'indices': [56, 61], u'text': u'NCIS'}, {u'indices': [62, 76], u'text': u'CriminalMinds'}, {u'indices': [77, 84], u'text': u'NCISLA'}, {u'indices': [85, 89], u'text': u'Zoo'}, {u'indices': [90, 117], u'text': u'CriminalMindsbeyondBorders'}]
neutral;22.07.2016 09:15;"SDCC Video : THE MAN IN THE HIGH CASTLE Season 2 Trailer &amp; Clip  themaninthehighcastle sdcc";[{u'indices': [92, 114], u'text': u'themaninthehighcastle'}, {u'indices': [115, 120], u'text': u'sdcc'}]
neutral;22.07.2016 09:15;"SDCC: ""Justice League Action"" Highlight Reel Debuts First Footage from Animated Series | Comic Book Resources ";[]
neutral;22.07.2016 09:05;"SDCC: '70s Icons Collide in ""Wonder Woman/Bionic Woman"" Crossover  ";[]
neutral;22.07.2016 09:14;SDCC: New red band trailer for adult animated comedy Sausage Party  ;[]
neutral;22.07.2016 09:15;SDCC: Telltale's TheWalkingDead Season 3 Screenshots Emerge.  ;[{u'indices': [0, 5], u'text': u'SDCC'}, {u'indices': [18, 33], u'text': u'TheWalkingDead'}]
neutral;22.07.2016 09:15;SDCC: The Walking Dead Fans Get Up Close And Personal With Season 6 Finale Negan Scene At The AMC TWD Stall [Video] ;[]
neutral;22.07.2016 09:11;"sdcc2016 sleepingsituation! Lol
7 men and one woman! sleep comiccon thetravelingnerd godhatesgeeks ";[{u'indices': [0, 9], u'text': u'sdcc2016'}, {u'indices': [10, 28], u'text': u'sleepingsituation'}, {u'indices': [55, 61], u'text': u'sleep'}, {u'indices': [62, 71], u'text': u'comiccon'}, {u'indices': [72, 89], u'text': u'thetravelingnerd'}, {u'indices': [90, 104], u'text': u'godhatesgeeks'}]
neutral;22.07.2016 09:10;Snowden's SDCC Trailer  ;[]
neutral;22.07.2016 09:07;So.....Starbucks line is the shortest line at  . Go figure. sdcc2016 aka Linecon;[{u'indices': [70, 79], u'text': u'sdcc2016'}]
neutral;22.07.2016 09:05;Spockin it up at SDCC2016! Pict by  LiveLongAndProsper Spock StarTrek LeonardNimoy GeneRoddenberry ;[{u'indices': [17, 26], u'text': u'SDCC2016'}, {u'indices': [49, 68], u'text': u'LiveLongAndProsper'}, {u'indices': [69, 75], u'text': u'Spock'}, {u'indices': [76, 85], u'text': u'StarTrek'}, {u'indices': [86, 99], u'text': u'LeonardNimoy'}, {u'indices': [100, 116], u'text': u'GeneRoddenberry'}]
neutral;22.07.2016 09:04;SPOILERS AHOY!  ;[]
neutral;22.07.2016 09:08;starwars r2d2 2016 SDCC Exclusive Star Wars Black Series Obi-Wan Kenobi in Hand Ready to Ship  theforceawakens;[{u'indices': [0, 9], u'text': u'starwars'}, {u'indices': [10, 15], u'text': u'r2d2'}, {u'indices': [120, 136], u'text': u'theforceawakens'}]
neutral;22.07.2016 09:08;starwars r2d2 LEGO STAR WARS POLYBAG A-WING PILOT REBEL NEW IN BAG MINT CONDITION 5004408 SDCC  theforceawakens;[{u'indices': [0, 9], u'text': u'starwars'}, {u'indices': [10, 15], u'text': u'r2d2'}, {u'indices': [121, 137], u'text': u'theforceawakens'}]
negativ;22.07.2016 09:11;Steven Moffat. Said. Those. Exact. Words. SDCC2016 imnotokay ;[{u'indices': [42, 51], u'text': u'SDCC2016'}, {u'indices': [52, 62], u'text': u'imnotokay'}]
neutral;22.07.2016 09:10;Stone's Snowden Gets A SDCC Trailer  via ;[]
neutral;22.07.2016 09:12;Street Fighter V Chun Li!! ;[]
neutral;22.07.2016 09:15;Sweden new Aquaman sketch for the collection from my friend  sdcc ;[{u'indices': [11, 19], u'text': u'Aquaman'}, {u'indices': [80, 85], u'text': u'sdcc'}]
neutral;22.07.2016 09:06;tag urself im the right Nike sandal on the floor ;[]
neutral;22.07.2016 09:09;Tardis Through The Wormhole Dress At Her Universe SDCC  oaknews;[{u'indices': [50, 55], u'text': u'SDCC'}, {u'indices': [80, 88], u'text': u'oaknews'}]
positiv;22.07.2016 09:16;Thank fuckin god, we can finally just focus on the female heroine ;[]
positiv;22.07.2016 09:11;THANK Y OU GOD ;[]
positiv;22.07.2016 09:10;THAT MADE ME CRY THIS IS BEAUTIFUL ;[]
positiv;22.07.2016 09:06;That's how it should be... ;[]
positiv;22.07.2016 09:09;That's my boy!!!! ;[]
negativ;22.07.2016 09:11;"the 4th pic tho? they all look like 'bitch u did not' as if kirkman said ""they can all die. no one's safe"" ";[]
neutral;22.07.2016 09:16;the cast goofing around at the HBO / Cinemax party at SDCC2016 ;[{u'indices': [54, 63], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:03;The cast of Luke Cage is at SDCC2016;[{u'indices': [28, 37], u'text': u'SDCC2016'}]
neutral;22.07.2016 09:04;The latest 1440 reading...!  Thanks to    rncincle sdcc2016;[{u'indices': [103, 112], u'text': u'rncincle'}, {u'indices': [113, 122], u'text': u'sdcc2016'}]
neutral;22.07.2016 09:11;The latest Steve Oatway Photography daily!  ewcomiccon sdcc;[{u'indices': [67, 78], u'text': u'ewcomiccon'}, {u'indices': [79, 84], u'text': u'sdcc'}]
positiv;22.07.2016 09:07;THIS IS A TRIO I WOULD BE BEHIND AND IN FRONT OF AND ON TOP OF AND UNDERNEATH. (they're all hot gfy)  ;[]
positiv;22.07.2016 09:03;This seems really interesting  ;[]
positiv;22.07.2016 09:11;this series is so amazing and i'm so glad to be a part of this generation legitcryinrn WynonnaEarp SDCC2016 ;[{u'indices': [74, 87], u'text': u'legitcryinrn'}, {u'indices': [88, 100], u'text': u'WynonnaEarp'}, {u'indices': [101, 110], u'text': u'SDCC2016'}]
positiv;22.07.2016 09:11;To people at SDCC  - if you meet Robbie Thompson please hug him from me.;[{u'indices': [13, 18], u'text': u'SDCC'}]
neutral;22.07.2016 09:12;Today's the day to catch  at SDCC2016 - only chance for Sensies to get their Sense8 fix there! ;[{u'indices': [40, 49], u'text': u'SDCC2016'}, {u'indices': [68, 76], u'text': u'Sensies'}, {u'indices': [90, 97], u'text': u'Sense8'}]
